,Trial,BPM,GestureSize,MinAngleRegionTwo
305,26.0,100.0,L,72.60280999999998
306,27.0,100.0,L,66.68025
307,28.0,100.0,L,64.81363
308,29.0,100.0,L,73.50375
309,30.0,100.0,L,67.83118
310,31.0,100.0,L,67.82072
311,32.0,100.0,L,69.58397
312,33.0,100.0,L,67.19476
313,34.0,100.0,L,64.271
314,35.0,100.0,L,71.01083
315,36.0,100.0,L,62.07471
316,37.0,100.0,L,69.68949
317,38.0,100.0,L,68.34940999999999
318,39.0,100.0,L,61.86299
319,40.0,100.0,L,67.18074
320,1.0,120.0,L,73.97439
321,2.0,120.0,L,77.76231999999997
322,3.0,120.0,L,80.34163000000002
323,4.0,120.0,L,83.03474
324,5.0,120.0,L,75.6806
325,6.0,120.0,L,78.0622
326,7.0,120.0,L,67.55449
327,8.0,120.0,L,68.71223
328,9.0,120.0,L,77.07384
329,10.0,120.0,L,72.53113
330,11.0,120.0,L,69.29015
331,12.0,120.0,L,73.67891999999998
332,13.0,120.0,L,72.55915
333,14.0,120.0,L,70.06339
334,15.0,120.0,L,70.98199
335,16.0,120.0,L,69.65182
336,17.0,120.0,L,67.1398
337,18.0,120.0,L,80.00808
338,19.0,120.0,L,75.90688
339,20.0,120.0,L,78.0436
340,21.0,120.0,L,68.71285
341,22.0,120.0,L,72.28113
342,23.0,120.0,L,76.09515
343,24.0,120.0,L,82.18476
344,25.0,120.0,L,75.24961
345,26.0,120.0,L,81.55105
346,27.0,120.0,L,77.24384
347,28.0,120.0,L,78.87794
348,29.0,120.0,L,79.49784
349,30.0,120.0,L,86.13969
350,31.0,120.0,L,76.63011999999998
351,32.0,120.0,L,73.78586
352,33.0,120.0,L,78.35423
353,34.0,120.0,L,79.06933000000002
354,35.0,120.0,L,83.24632
355,36.0,120.0,L,80.30898
356,37.0,120.0,L,81.42393
357,38.0,120.0,L,72.8945
358,39.0,120.0,L,83.65711999999998
359,40.0,120.0,L,78.26501
