,Trial,BPM,GestureSize,MedianVelocityRegionOne,MedianVelocityRegionTwo,MeanVelocityRegionOne,MeanVelocityRegionTwo,RegionOneDistance,RegionTwoDistance,TotalRegionDistance,MaxAngleRegionOne,MaxAngleRegionTwo,MinAngleRegionTwo,MedianVelocityYRegionOne,MedianVelocityYRegionTwo,MeanVelocityYRegionOne,MeanVelocityYRegionTwo,TimeEndRegionOne,TimeEndRegionTwo,TimeStartRegionTwo,TimeDifferenceBetweenCollisions
108,30.0,120.0,S,0.91170785,0.4135297000000001,0.4673535685714286,0.4673535685714286,0.2531698,0.10405540000000002,0.3572252,80.52513,80.66792,78.33184,0.87076015,-0.27186809999999995,0.7926453083333334,-0.3393240685714285,0.24,0.38,0.28,120.0
109,31.0,120.0,S,1.0537,0.5296418,0.4911988414285714,0.4911988414285714,0.2336976,0.10605979999999998,0.3397574,77.45736,79.9538,78.85611999999998,0.9582824,-0.2313833,0.9763348777777776,-0.2937571271428571,0.18000000000000002,0.31999999999999995,0.22,125.0
110,32.0,120.0,S,1.198243,0.6165347,0.5889298000000001,0.5889298000000001,0.2443619,0.10876039999999998,0.3531223,83.15438,86.62021999999996,83.58117,1.172741,-0.266133125,1.0580748333333334,-0.19131329166666666,0.18000000000000002,0.31999999999999995,0.22,120.0
111,33.0,120.0,S,1.00760505,0.50272615,0.4396645516666666,0.4396645516666666,0.2289814,0.08922400000000005,0.3182054,76.6402,77.34019,72.33744,0.94097575,-0.48964545,0.8991586799999999,-0.4174176683333333,0.24000000000000002,0.34,0.26,130.43478260869566
112,34.0,120.0,S,1.1204085,0.5497999,0.50950304,0.50950304,0.23173890000000005,0.092724,0.32446290000000005,83.1832,84.09014,82.17014,1.096545,-0.532122,0.8834215000000001,-0.487666792,0.24,0.33999999999999997,0.27999999999999997,115.3846153846154
113,36.0,120.0,S,0.9026034,0.4167338,0.41863683857142864,0.41863683857142864,0.2440133,0.0937847,0.337798,75.90095,77.16468,75.27932,0.8463242,-0.3891327,0.754646675,-0.2787987142857143,0.24,0.36,0.26,120.0
114,37.0,120.0,S,1.0064516,0.5630834,0.50735462,0.50735462,0.2095718,0.08203780000000001,0.2916096,80.97851,84.10844,83.45753,0.99350745,-0.31596490000000005,0.9671667125,-0.18727617600000002,0.16,0.3,0.22000000000000003,136.36363636363637
115,38.0,120.0,S,0.98399765,0.66505295,0.5663221333333334,0.5663221333333334,0.2263691,0.09463699999999994,0.3210061,77.38166,77.81421999999998,73.76089,0.93916595,-0.64936395,0.81035763,-0.5529111583333334,0.28,0.38,0.30000000000000004,111.11111111111109
116,39.0,120.0,S,0.9430405,0.6330563499999999,0.5479819383333333,0.5479819383333333,0.2639611,0.09895299999999996,0.3629141,80.78116,81.29785,79.7296,0.8579370999999999,-0.59945895,0.8111463750000002,-0.4969985333333333,0.28,0.38,0.30000000000000004,115.3846153846154
117,40.0,120.0,S,1.05178,0.5290023500000001,0.5030187,0.5030187,0.2573282,0.1058051,0.3631333,76.41346999999998,76.63585,73.9318,0.9841592,-0.5013185,0.8618153545454543,-0.4343134,0.26,0.36,0.28,115.3846153846154
