,ID,GestureSize,Velocity_X,Velocity_Y,Velocity_Z,Position_X,Position_Y,Position_z,VelocityMagnitude,TimeRelativeToPrep,AngleToBP1,DistanceCoveredSoFar,Acceleration,BPM,Trial
7249,216.84S80T18,S,-0.2874144,0.910564,-0.2033082,0.4825388,-0.4467416,0.04162617,0.9762521,0.26,71.2015,0.09464331,8.404526,80,18.0
7250,216.86S80T18,S,-0.2874144,0.910564,-0.2033082,0.4767905,-0.4285304,0.03756001,0.9762521,0.28,70.80638,0.1141683,8.404526,80,18.0
7251,216.88S80T18,S,-0.215756,1.071208,-0.2099172,0.4785889,-0.4138809,0.03649083,1.1127,0.3,73.36675,0.1289664,5.721917,80,18.0
7252,216.9S80T18,S,-0.1337037,1.141762,-0.2262758,0.4770456,-0.3814563,0.03075382,1.171622,0.32,75.0747,0.1619309,2.902392,80,18.0
7253,216.92S80T18,S,-0.07616703,1.117355,-0.237591,0.4763336,-0.3525637,0.02484224,1.144873,0.34,76.00288,0.1914306,3.519582,80,18.0
7254,216.94S80T18,S,-0.02713825,1.000835,-0.2274767,0.4765166,-0.3288988,0.01967949,1.02672,0.36,76.58267,0.2156527,6.482199,80,18.0
7255,216.96S80T18,S,-0.02713825,1.000835,-0.2274767,0.4759738,-0.3088821,0.01512995,1.02672,0.38,76.79724,0.2361871,6.482199,80,18.0
7256,217S80T18,S,0.02424035,0.6012841,-0.1368303,0.4779703,-0.3017769,0.01401167,0.6171327,0.42,77.25127,0.2436518,10.0724,80,18.0
7257,217.08S80T18,S,0.04394339,-0.1197523,0.0830942,0.4810485,-0.3120496,0.02109715,0.1522376,0.5,78.52789,0.2565051,9.633171,80,18.0
7258,217.1S80T18,S,0.04745781,-0.3477763,0.142712,0.4821558,-0.3271061,0.02644014,0.3789028,0.52,79.00427,0.2725199,8.31724,80,18.0
7259,217.12S80T18,S,0.0481516,-0.5261827,0.1662752,0.483225,-0.3455741,0.03150113,0.5539262,0.54,79.25715,0.2916985,6.446129,80,18.0
7260,217.14S80T18,S,0.03897659,-0.6645815,0.1541868,0.4836812,-0.3665173,0.03534347,0.6833457,0.56,78.9325,0.3129962,4.546362,80,18.0
7261,217.16S80T18,S,0.03897659,-0.6645815,0.1541868,0.4844608,-0.379809,0.03842721,0.6833457,0.58,78.92334,0.3266631,4.546362,80,18.0
7262,217.18S80T18,S,0.03421466,-0.7694214,0.1334629,0.4842383,-0.3891707,0.03823071,0.78166,0.6,78.12387,0.3360296,4.77086,80,18.0
7263,217.2S80T18,S,0.03683029,-0.8780261,0.1074492,0.4852888,-0.4151084,0.04014418,0.8853427,0.62,76.55953,0.362059,4.343537,80,18.0
7264,217.22S80T18,S,0.03636807,-0.9413846,0.0522425,0.4860948,-0.4416459,0.0397476,0.9435342,0.64,73.18886,0.3886117,2.84764,80,18.0
7265,217.24S80T18,S,0.03567713,-0.9422679,-0.01669802,0.4869957,-0.4662669,0.03709212,0.9430909,0.66,67.00782,0.4133919,2.601219,80,18.0
7266,217.26S80T18,S,0.03567713,-0.9422679,-0.01669802,0.4877093,-0.4851123,0.03675816,0.9430909,0.68,60.02539,0.4322537,2.601219,80,18.0
7267,217.28S80T18,S,0.02874559,-0.9458594,-0.07246366,0.4876524,-0.4909119,0.0333206,0.9490665,0.7,54.69079,0.4389958,2.257543,80,18.0
7268,217.3S80T18,S,0.02113822,-0.9431871,-0.1266747,0.4881129,-0.5154783,0.02804555,0.9518903,0.72,29.60447,0.4641263,2.105258,80,18.0
7269,217.32S80T18,S,0.01888292,-0.9103492,-0.172437,0.4887197,-0.5384727,0.02177431,0.926729,0.74,3.884688,0.4879683,2.581818,80,18.0
7270,219S80T19,S,-0.1177229,-0.6834157,-0.0613784,0.5896937,-0.4544019,0.08743823,0.6961917,0,-999,0,4.246594,80,19.0
7271,219.02S80T19,S,-0.1716712,-0.7299354,-0.1156781,0.5836754,-0.4745869,0.0824829,0.7587214,0.02,-999,0,3.219497,80,19.0
7272,219.04S80T19,S,-0.2194105,-0.7374306,-0.1732865,0.5765893,-0.4938461,0.07594266,0.7886528,0.04,-999,0,2.868341,80,19.0
7273,219.06S80T19,S,-0.2194105,-0.7374306,-0.1732865,0.5722011,-0.5085948,0.07247693,0.7886528,0.06,-999,0,2.868341,80,19.0
7274,219.08S80T19,S,-0.2707923,-0.6967437,-0.2250521,0.5681413,-0.5107995,0.06819318,0.7806592,0.08,-999,0,4.038497,80,19.0
7275,219.1S80T19,S,-0.3172777,-0.5953651,-0.2616961,0.5586302,-0.5234616,0.05989889,0.7236087,0.1,-999,0,6.1502,80,19.0
7276,219.12S80T19,S,-0.3669794,-0.3964595,-0.2845173,0.5477633,-0.528441,0.051313,0.6105769,0.12,-999,0,9.88689,80,19.0
