,Trial,BPM,GestureSize,MedianVelocityRegionOne,MedianVelocityRegionTwo,RegionOneDistance,RegionTwoDistance,TotalRegionDistance,MaxAngleRegionOne,MaxAngleRegionTwo,MinAngleRegionTwo,TimeDiffRegionOneToPlane,TimeDiffRegionTwoToPlane,TimeEndRegionOne,TimeEndRegionTwo,TimeStartRegionOne,TimeStartRegionTwo,TimeDifferenceBetweenCollisions
79,1.0,120.0,S,0.97560965,0.5087696,0.2140417,0.08329750000000002,0.2973392,75.37997,80.3192,78.63725,0.21,0.11000000000000004,0.32,0.42,0.1,0.36,0.4300000000000001
80,2.0,120.0,S,0.98802845,0.44489455,0.2217164,0.08844580000000007,0.31016220000000005,78.97834,76.89528,75.7366,0.21,0.08999999999999997,0.28,0.4,0.08,0.32,0.41
81,3.0,120.0,S,1.07612,0.3583005,0.2384775,0.09825070000000002,0.33672820000000003,73.3195,76.10274,74.75714,0.21,0.09000000000000002,0.34,0.46,0.14,0.38,0.41
82,4.0,120.0,S,1.063805,0.54507795,0.2181976,0.09443139999999996,0.312629,76.62075,80.48442,78.24557,0.23,0.09000000000000002,0.28,0.42,0.1,0.32,0.41
83,5.0,120.0,S,1.039012,0.5814286999999999,0.2139355,0.0784936,0.2924291,72.90302,73.4577,69.31594,0.23,0.08999999999999997,0.2,0.34,0.02,0.28,0.41
84,6.0,120.0,S,0.9445317,0.5654929,0.2358129,0.0999602,0.3357731,78.77209,80.51720999999998,79.02769,0.15000000000000002,0.05000000000000005,0.38,0.48,0.12,0.4,0.41
85,7.0,120.0,S,1.189619,0.5107484999999999,0.2784722,0.12465000000000005,0.4031222,72.11536,73.9573,69.43353,0.21000000000000008,0.07000000000000006,0.36,0.5,0.16,0.4,0.41
86,8.0,120.0,S,1.004237,0.65629645,0.3006929,0.11073630000000012,0.4114292000000001,74.12295,76.07851,75.09081,0.21000000000000008,0.11000000000000004,0.36,0.46,0.1,0.38,0.4700000000000001
87,9.0,120.0,S,0.99291375,0.6553034000000001,0.2437839,0.09957669999999996,0.3433606,73.72348000000002,73.65919,68.70662,0.15000000000000002,0.07,0.3,0.38,0.04,0.32,0.41
88,10.0,120.0,S,1.1953745,0.6986829000000001,0.2842288,0.12255929999999997,0.4067881,80.19131,81.79511,79.18681,0.27,0.09000000000000002,0.28,0.46,0.08,0.34,0.47
89,11.0,120.0,S,0.92505315,0.5654798000000001,0.27432929999999994,0.11295220000000004,0.3872815,70.18393,70.36626,64.37508000000001,0.21,0.09000000000000002,0.34,0.46,0.08,0.36,0.47
90,12.0,120.0,S,1.117843,0.3868781,0.29020159999999995,0.11308920000000006,0.4032908,78.24834,80.14976,77.14397,0.21,0.08999999999999997,0.38,0.5,0.14,0.4,0.45
91,13.0,120.0,S,1.1889,0.48953725,0.2732865,0.11324120000000006,0.3865277,81.67699,83.68835,78.73040999999998,0.19000000000000009,0.09000000000000008,0.38,0.48,0.14,0.4,0.4300000000000001
92,14.0,120.0,S,1.073796,0.4284482,0.3025703,0.09727940000000003,0.3998497,70.49292,70.5391,67.72166999999999,0.19000000000000009,0.09000000000000002,0.36,0.46,0.1,0.38,0.4500000000000001
93,15.0,120.0,S,1.169774,0.7847656000000001,0.3151213,0.13278929999999997,0.4479106,79.85754,84.58746,81.24209,0.15000000000000002,0.05000000000000005,0.4,0.5,0.16,0.42,0.39
94,16.0,120.0,S,1.319232,0.6549635,0.2900547,0.11524949999999999,0.4053042,74.94951,77.85078,76.05096,0.23000000000000004,0.09000000000000008,0.34,0.48,0.16,0.36,0.41
95,17.0,120.0,S,1.166526,0.4011267,0.3129686,0.12920120000000013,0.4421698000000001,77.19138000000002,77.94315999999998,75.11929,0.23000000000000004,0.09000000000000008,0.34,0.48,0.1,0.38,0.4700000000000001
96,18.0,120.0,S,1.218995,0.5368378,0.3397166,0.1511744,0.490891,74.83104,75.52965999999998,70.63896,0.23,0.08999999999999997,0.38,0.52,0.12,0.4,0.49
97,19.0,120.0,S,1.4218879999999998,0.45952655,0.3554285,0.11611210000000001,0.4715406,71.79149,73.76658,71.71633,0.21,0.11000000000000004,0.32,0.42,0.08,0.34,0.45
98,20.0,120.0,S,1.2528015,0.66064455,0.347236,0.16932000000000005,0.516556,71.05769000000002,73.22726,68.80757,0.23000000000000004,0.07000000000000006,0.34,0.5,0.1,0.36,0.4700000000000001
99,21.0,120.0,S,0.9650395,0.5974503000000001,0.2451221,0.10410740000000003,0.3492295,81.39021,82.13356,75.30478000000002,0.22000000000000006,0.09999999999999998,0.42,0.54,0.16,0.44,0.48
100,22.0,120.0,S,1.03164055,0.3857142,0.2734035,0.1137496,0.3871531,77.52765,78.85852,77.71311,0.21000000000000008,0.09000000000000008,0.36,0.48,0.12,0.38,0.4500000000000001
101,23.0,120.0,S,0.9348636,0.5303339,0.30741890000000005,0.13222010000000006,0.4396390000000001,75.16628,75.92554,70.6443,0.24999999999999994,0.11,0.34,0.48,0.08,0.36,0.51
102,24.0,120.0,S,0.9998538,0.3791509,0.2662625,0.10841079999999996,0.3746733,79.38355,79.59589,76.56895,0.25,0.11,0.36,0.5,0.12,0.4,0.49
103,25.0,120.0,S,1.07599625,0.50686635,0.2575942,0.1086954,0.3662896,80.65919,81.24339,76.43467,0.29,0.11,0.3,0.48,0.1,0.34,0.49
104,26.0,120.0,S,1.0888790000000002,0.6415571,0.2237264,0.09594129999999998,0.3196677,77.85008,80.77161,79.4397,0.19000000000000009,0.09000000000000002,0.36,0.46,0.1,0.38,0.4500000000000001
105,27.0,120.0,S,1.0188045,0.407499,0.2424124,0.08861730000000001,0.3310297,79.51941,80.47935,79.90923000000002,0.23,0.11,0.28,0.4,0.08,0.32,0.43
106,28.0,120.0,S,0.9655676999999999,0.5016872,0.2698866,0.11393260000000005,0.3838192,77.99605,79.83001999999998,75.98115,0.30000000000000004,0.12000000000000005,0.26,0.44,0.02,0.3,0.54
107,29.0,120.0,S,0.9965051,0.5984254,0.2590307,0.10986789999999996,0.3688986,81.16841,81.63264000000002,78.56223,0.23,0.11,0.28,0.4,0.02,0.3,0.49
108,30.0,120.0,S,0.91170785,0.4135297000000001,0.2531698,0.10405540000000002,0.3572252,80.52513,80.66792,78.33184,0.23000000000000004,0.09000000000000002,0.3,0.44,0.06,0.34,0.47
109,31.0,120.0,S,1.0537,0.5296418,0.2336976,0.10605979999999998,0.3397574,77.45736,79.9538,78.85611999999998,0.21,0.07,0.28,0.42,0.1,0.32,0.39
110,32.0,120.0,S,1.198243,0.6165347,0.2443619,0.10876039999999998,0.3531223,83.15438,86.62021999999996,83.58117,0.23,0.09000000000000002,0.28,0.42,0.1,0.32,0.41
111,33.0,120.0,S,1.00760505,0.50272615,0.2289814,0.08922400000000005,0.3182054,76.6402,77.34019,72.33744,0.18999999999999995,0.08999999999999997,0.28,0.38,0.04,0.3,0.43
112,34.0,120.0,S,1.1204085,0.5497999,0.23173890000000005,0.092724,0.32446290000000005,83.1832,84.09014,82.17014,0.21,0.11000000000000004,0.32,0.42,0.08,0.36,0.45
113,36.0,120.0,S,0.9026034,0.4167338,0.2440133,0.0937847,0.337798,75.90095,77.16468,75.27932,0.21000000000000008,0.09000000000000008,0.36,0.48,0.12,0.38,0.4500000000000001
114,37.0,120.0,S,1.0064516,0.5630834,0.2095718,0.08203780000000001,0.2916096,80.97851,84.10844,83.45753,0.23,0.09000000000000002,0.22,0.36,0.06,0.28,0.39
115,38.0,120.0,S,0.98399765,0.66505295,0.2263691,0.09463699999999994,0.3210061,77.38166,77.81421999999998,73.76089,0.19000000000000009,0.09000000000000008,0.38,0.48,0.1,0.4,0.4700000000000001
116,39.0,120.0,S,0.9430405,0.6330563499999999,0.2639611,0.09895299999999996,0.3629141,80.78116,81.29785,79.7296,0.17000000000000004,0.07000000000000006,0.38,0.48,0.1,0.4,0.4500000000000001
117,40.0,120.0,S,1.05178,0.5290023500000001,0.2573282,0.1058051,0.3631333,76.41346999999998,76.63585,73.9318,0.19,0.08999999999999997,0.42,0.52,0.16,0.44,0.45
118,1.0,80.0,M,1.9186235,0.95160995,0.5678506999999999,0.24244940000000004,0.8103001,79.95868,81.46840999999998,75.7429,0.39,0.15000000000000002,0.5,0.74,0.22,0.56,0.67
119,2.0,80.0,M,1.884418,0.7696703,0.5687035,0.2263456999999999,0.7950491999999999,81.37791,84.75583,78.76313,0.33,0.13,0.5,0.7,0.2,0.52,0.6299999999999999
120,3.0,80.0,M,1.8120490000000002,0.9080190999999999,0.5860084,0.25769070000000005,0.8436991,77.63309,79.26398,73.46665,0.31000000000000005,0.13,0.5,0.68,0.16,0.52,0.65
121,4.0,80.0,M,1.989433,0.8553546999999999,0.6151456999999999,0.28072010000000025,0.8958658000000002,79.54202,80.56128000000002,75.38135,0.35,0.11,0.48,0.72,0.22,0.52,0.61
122,5.0,80.0,M,1.923927,0.9745889,0.5928309,0.25832619999999995,0.8511571,75.08839,77.22049,73.46751,0.3700000000000001,0.13,0.44,0.68,0.18,0.46,0.6300000000000001
123,6.0,80.0,M,1.817969,0.821385,0.5709519000000001,0.24523149999999996,0.8161834,77.46368000000002,80.70317,76.05544,0.35000000000000003,0.11,0.44,0.68,0.16,0.46,0.63
124,7.0,80.0,M,1.557552,0.7654158000000001,0.5201948000000001,0.2377692,0.7579640000000001,73.33391,75.31461999999998,72.83569,0.31000000000000005,0.1100000000000001,0.5,0.7,0.16,0.52,0.65
125,8.0,80.0,M,1.6392875,0.89828215,0.5387132,0.2269684999999999,0.7656816999999999,78.93096,81.7878,79.10823,0.4099999999999999,0.16999999999999993,0.54,0.78,0.26,0.6,0.69
126,9.0,80.0,M,1.486451,0.85841325,0.5427393,0.233281,0.7760203,77.22505,79.04424,76.48003,0.3300000000000001,0.15000000000000002,0.48,0.66,0.14,0.5,0.67
127,10.0,80.0,M,1.3169110000000002,0.8461083,0.4887452000000001,0.18087949999999986,0.6696247,73.27368,74.73613,72.63747,0.27,0.13,0.54,0.68,0.18,0.56,0.6300000000000001
128,11.0,80.0,M,1.302243,0.7910054,0.4596262,0.17537179999999994,0.634998,74.17945,76.1976,74.35486999999998,0.30999999999999994,0.16999999999999993,0.54,0.68,0.2,0.56,0.6499999999999999
129,12.0,80.0,M,1.466736,0.7911675,0.489111,0.20979710000000007,0.6989081,75.97985,79.45911,77.02264,0.31000000000000005,0.13,0.5,0.68,0.14,0.52,0.67
130,13.0,80.0,M,1.577506,0.8236357,0.5442583000000001,0.21760119999999994,0.7618595,76.10168,77.55922,76.07066999999998,0.30999999999999994,0.15000000000000002,0.56,0.72,0.2,0.58,0.6699999999999999
131,14.0,80.0,M,1.595175,0.7347186,0.4897001,0.21301869999999995,0.7027188,74.42553000000002,77.47367,75.0751,0.41,0.17000000000000004,0.48,0.72,0.18,0.52,0.71
132,15.0,80.0,M,1.288656,0.80610045,0.4655887,0.16573099999999996,0.6313196999999999,74.31519,75.32914,74.19283,0.27,0.13,0.62,0.76,0.26,0.64,0.63
133,16.0,80.0,M,1.482609,0.7520185,0.5180371,0.2373482,0.7553853,84.61496,86.89115,80.39618,0.37,0.15000000000000002,0.56,0.78,0.22,0.58,0.7100000000000001
